url,publisher,date,retrieval_date,license_reuse,document_category,evidence_tier,confidence,used_as
https://www.uspreventiveservicestaskforce.org/uspstf/recommendation/screening-for-prediabetes-and-type-2-diabetes,U.S. Preventive Services Task Force,unknown-on-source-page,2026-08-24,public-domain-us-government,clinician_evidence,federal-primary,high,EDU-012
https://www.niddk.nih.gov/health-information/kidney-disease/kidney-failure/choosing-treatment,"National Institute of Diabetes and Digestive and Kidney Diseases, NIH",unknown-on-source-page,2026-08-24,public-domain-us-government,kidney,federal-primary,high,EDU-001
https://www.niddk.nih.gov/health-information/diabetes/overview/preventing-type-2-diabetes/game-plan,"National Institute of Diabetes and Digestive and Kidney Diseases, NIH",unknown-on-source-page,2026-08-24,public-domain-us-government,nutrition_lifestyle,federal-primary,high,EDU-002
https://www.niddk.nih.gov/health-information/diabetes/overview/what-is-diabetes/type-1-diabetes,"National Institute of Diabetes and Digestive and Kidney Diseases, NIH",unknown-on-source-page,2026-08-24,public-domain-us-government,diabetes_self_management,federal-primary,high,EDU-003
https://www.niddk.nih.gov/health-information/diabetes/financial-help-diabetes-care,"National Institute of Diabetes and Digestive and Kidney Diseases, NIH",unknown-on-source-page,2026-08-24,public-domain-us-government,diabetes_self_management,federal-primary,high,EDU-004
https://www.niddk.nih.gov/health-information/diabetes/overview/managing-diabetes,"National Institute of Diabetes and Digestive and Kidney Diseases, NIH",unknown-on-source-page,2026-08-24,public-domain-us-government,diabetes_self_management,federal-primary,high,EDU-005
https://medlineplus.gov/lab-tests/blood-glucose-test,"MedlinePlus, National Library of Medicine",unknown-on-source-page,2026-08-24,public-domain-us-government,diabetes_self_management,federal-primary,high,EDU-006
https://www.niddk.nih.gov/health-information/diabetes/overview/diet-eating-physical-activity,"National Institute of Diabetes and Digestive and Kidney Diseases, NIH",unknown-on-source-page,2026-08-24,public-domain-us-government,nutrition_lifestyle,federal-primary,high,EDU-007
https://www.niddk.nih.gov/health-information/diabetes/overview/healthy-living-with-diabetes,"National Institute of Diabetes and Digestive and Kidney Diseases, NIH",unknown-on-source-page,2026-08-24,public-domain-us-government,nutrition_lifestyle,federal-primary,high,EDU-008
https://www.niddk.nih.gov/health-information/kidney-disease/chronic-kidney-disease-ckd/healthy-eating-adults-chronic-kidney-disease,"National Institute of Diabetes and Digestive and Kidney Diseases, NIH",unknown-on-source-page,2026-08-24,public-domain-us-government,kidney,federal-primary,high,EDU-009
https://www.niddk.nih.gov/health-information/diabetes/overview/preventing-problems/heart-disease-stroke,"National Institute of Diabetes and Digestive and Kidney Diseases, NIH",unknown-on-source-page,2026-08-24,public-domain-us-government,lipids_cv,federal-primary,high,EDU-010
https://www.niddk.nih.gov/health-information/kidney-disease/heart-disease,"National Institute of Diabetes and Digestive and Kidney Diseases, NIH",unknown-on-source-page,2026-08-24,public-domain-us-government,kidney,federal-primary,high,EDU-011
https://www.niddk.nih.gov/health-information/diabetes/overview/insulin-medicines-treatments,"National Institute of Diabetes and Digestive and Kidney Diseases, NIH",unknown-on-source-page,2026-08-24,public-domain-us-government,medications_safety,federal-primary,high,EDU-013
https://www.niddk.nih.gov/health-information/diabetes/overview/symptoms-causes,"National Institute of Diabetes and Digestive and Kidney Diseases, NIH",unknown-on-source-page,2026-08-24,public-domain-us-government,urgent_warning_signs,federal-primary,high,EDU-014
